year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Spanish Grand Prix,max_verstappen,Red Bull,1,1,0,1,144.0,1.0,1.2482345461160016,4.054935620858367,249.0,1,1,0,0,-0.16666666666666666,5.0,6.686991869918699
2023,Spanish Grand Prix,hamilton,Mercedes,4,5,-1,2,69.0,4.0,4.71473937242662,5.762628477782652,119.0,1,1,0,2,-0.16666666666666666,1.6666666666666667,4.199186991869919
2023,Spanish Grand Prix,russell,Mercedes,12,12,0,3,50.0,5.0,6.810517583138684,5.762628477782652,152.0,1,1,0,9,-0.16666666666666666,12.75,4.199186991869919
2023,Spanish Grand Prix,perez,Red Bull,11,11,0,4,105.0,2.0,6.861636695600731,4.054935620858367,287.0,0,1,0,7,-0.16666666666666666,6.666666666666667,6.686991869918699
2023,Spanish Grand Prix,sainz,Ferrari,2,2,0,5,48.0,6.0,6.860834293835447,7.528111261844776,90.0,0,1,0,-3,-0.16666666666666666,6.5,6.703252032520325
2023,Spanish Grand Prix,stroll,Aston Martin,5,6,-1,6,27.0,8.0,13.264251981354365,8.04542579993676,120.0,0,1,0,-1,-0.16666666666666666,12.666666666666666,11.943181818181818
2023,Spanish Grand Prix,alonso,Aston Martin,8,9,-1,7,93.0,3.0,2.8265996185191606,8.04542579993676,134.0,0,1,0,1,-0.16666666666666666,11.5,11.943181818181818
2023,Spanish Grand Prix,ocon,Alpine F1 Team,6,7,-1,8,21.0,9.0,8.975360145792322,9.178420492525085,35.0,0,1,0,-2,-0.16666666666666666,10.0,10.056818181818182
2023,Spanish Grand Prix,zhou,Alfa Romeo,13,13,0,9,2.0,15.0,14.418554520819947,13.730382806842176,6.0,0,1,0,4,-0.16666666666666666,19.0,13.21951219512195
2023,Spanish Grand Prix,gasly,Alpine F1 Team,10,4,6,10,14.0,10.0,9.381480839257849,9.178420492525085,40.0,0,1,0,0,-0.16666666666666666,11.4,10.056818181818182
2023,Spanish Grand Prix,leclerc,Ferrari,19,19,0,11,42.0,7.0,8.195388229854105,7.528111261844776,100.0,0,0,0,8,-0.16666666666666666,11.8,6.703252032520325
2023,Spanish Grand Prix,tsunoda,AlphaTauri,15,15,0,12,2.0,16.0,12.076782368921211,13.732502711505964,2.0,0,0,0,3,-0.16666666666666666,15.0,11.926229508196721
2023,Spanish Grand Prix,piastri,McLaren,9,10,-1,13,5.0,13.0,13.054974720944386,12.359671491277282,17.0,0,0,0,-4,-0.16666666666666666,12.0,10.74390243902439
2023,Spanish Grand Prix,de_vries,AlphaTauri,14,14,0,14,0.0,19.0,15.38822305409072,13.732502711505964,2.0,0,0,0,0,-0.16666666666666666,12.0,11.926229508196721
2023,Spanish Grand Prix,hulkenberg,Haas F1 Team,7,8,-1,15,6.0,12.0,14.835337637742803,14.691459521210945,8.0,0,0,0,-8,-0.16666666666666666,13.0,14.390243902439025
2023,Spanish Grand Prix,albon,Williams,18,18,0,16,1.0,18.0,14.42949574489064,15.916461816215996,1.0,0,0,0,2,-0.16666666666666666,12.333333333333334,14.699186991869919
2023,Spanish Grand Prix,norris,McLaren,3,3,0,17,12.0,11.0,11.664368261610177,12.359671491277282,17.0,0,0,0,-14,-0.16666666666666666,11.5,10.74390243902439
2023,Spanish Grand Prix,kevin_magnussen,Haas F1 Team,17,17,0,18,2.0,17.0,14.547581404679097,14.691459521210945,8.0,0,0,0,-1,-0.16666666666666666,11.8,14.390243902439025
2023,Spanish Grand Prix,bottas,Alfa Romeo,16,16,0,19,4.0,14.0,13.042211092864404,13.730382806842176,8.0,0,0,0,-3,-0.16666666666666666,5.5,13.21951219512195
2023,Spanish Grand Prix,sargeant,Williams,20,20,0,20,0.0,20.0,17.403427887541355,15.916461816215996,1.0,0,0,0,0,-0.16666666666666666,12.0,14.699186991869919
2023,Canadian Grand Prix,max_verstappen,Red Bull,1,1,0,1,170.0,1.0,1.1670808243312207,3.5465905305282863,287.0,1,1,0,0,-0.25,6.75,6.686991869918699
2023,Canadian Grand Prix,alonso,Aston Martin,2,3,-1,2,99.0,3.0,4.190982532801058,7.540189694127047,134.0,1,1,0,0,-0.25,14.333333333333334,11.943181818181818
2023,Canadian Grand Prix,hamilton,Mercedes,3,4,-1,3,87.0,4.0,3.8272271095478354,4.695998357536031,152.0,1,1,0,0,-0.25,2.5,4.199186991869919
2023,Canadian Grand Prix,leclerc,Ferrari,10,11,-1,4,42.0,7.0,9.112281897032808,7.68238280852839,100.0,0,1,0,6,-0.25,6.0,6.703252032520325
2023,Canadian Grand Prix,sainz,Ferrari,11,8,3,5,58.0,6.0,6.252483720023971,7.68238280852839,122.0,0,1,0,6,-0.25,10.25,6.703252032520325
2023,Canadian Grand Prix,perez,Red Bull,12,12,0,6,117.0,2.0,5.92610023672535,3.5465905305282863,321.0,0,1,0,6,-0.25,12.75,6.686991869918699
2023,Canadian Grand Prix,albon,Williams,9,10,-1,7,1.0,18.0,14.942930588570295,16.59761953878278,1.0,0,1,0,2,-0.25,16.0,14.699186991869919
2023,Canadian Grand Prix,ocon,Alpine F1 Team,6,6,0,8,25.0,9.0,8.656491933651518,9.120090629749589,40.0,0,1,0,-2,-0.25,7.0,10.056818181818182
2023,Canadian Grand Prix,stroll,Aston Martin,16,13,3,9,35.0,8.0,10.889396855453038,7.540189694127047,154.0,0,1,0,7,-0.25,12.0,11.943181818181818
2023,Canadian Grand Prix,bottas,Alfa Romeo,14,15,-1,10,4.0,14.0,14.98995265819913,13.818527019741934,8.0,0,1,0,4,-0.25,3.75,13.21951219512195
2023,Canadian Grand Prix,piastri,McLaren,8,9,-1,11,5.0,13.0,13.037002189407088,13.222857089615308,17.0,0,0,0,-3,-0.25,12.0,10.74390243902439
